Date,Adj Close,Close,High,Low,Open,Volume
2023-08-17,19548.0,19548.0,19622.69921875,19496.400390625,19565.900390625,1674900
2023-08-18,19481.25,19481.25,19528.849609375,19436.849609375,19461.650390625,1098800
2023-08-21,19571.5,19571.5,19622.0,19470.80078125,19511.44921875,944700
2023-08-22,19551.75,19551.75,19657.599609375,19527.400390625,19626.5,1239400
2023-08-23,19731.94921875,19731.94921875,19744.099609375,19511.55078125,19584.44921875,1088700
2023-08-24,19717.849609375,19717.849609375,19927.05078125,19690.75,19823.05078125,1331100
2023-08-25,19651.55078125,19651.55078125,19705.0,19541.900390625,19633.599609375,1020100
2023-08-28,19759.650390625,19759.650390625,19797.44921875,19638.150390625,19659.75,946900
2023-08-29,19799.94921875,19799.94921875,19843.650390625,19765.25,19836.5,1129900
2023-08-30,19701.349609375,19701.349609375,19914.400390625,19666.849609375,19899.30078125,1006400
2023-08-31,19597.650390625,19597.650390625,19745.80078125,19566.19921875,19719.099609375,5056400
2023-09-01,19764.349609375,19764.349609375,19806.75,19545.69921875,19598.05078125,1519200
2023-09-04,19787.599609375,19787.599609375,19871.0,19701.0,19867.25,1118909000
2023-09-05,19754.75,19754.75,19817.05078125,19706.5,19808.599609375,1488400
2023-09-06,19759.0,19759.0,19811.05078125,19654.0,19739.5,1537900
2023-09-07,19960.69921875,19960.69921875,19977.349609375,19719.349609375,19764.349609375,1197100
2023-09-08,20138.099609375,20138.099609375,20221.349609375,19953.650390625,19989.80078125,2355800
2023-09-11,20305.30078125,20305.30078125,20329.30078125,20177.849609375,20218.099609375,1318300
2023-09-12,20303.849609375,20303.849609375,20440.05078125,20222.900390625,20439.94921875,1836100
2023-09-13,20386.75,20386.75,20430.150390625,20206.19921875,20265.25,1549700
2023-09-14,20408.19921875,20408.19921875,20468.05078125,20329.849609375,20416.44921875,1095500
2023-09-15,20531.349609375,20531.349609375,20573.25,20447.349609375,20455.599609375,1928900
2023-09-18,20408.25,20408.25,20509.599609375,20374.80078125,20479.900390625,1314900
2023-09-20,20104.5,20104.5,20267.650390625,20064.349609375,20191.30078125,1794500
2023-09-21,19814.94921875,19814.94921875,20032.0,19799.25,20005.69921875,1623800
2023-09-22,19732.94921875,19732.94921875,19931.94921875,19706.599609375,19831.599609375,1406400
2023-09-25,19842.599609375,19842.599609375,19913.0,19721.25,19748.44921875,969900
2023-09-26,19797.849609375,19797.849609375,19852.849609375,19771.69921875,19821.150390625,929900
2023-09-27,19772.55078125,19772.55078125,19799.0,19603.900390625,19726.0,1537000
2023-09-28,19675.55078125,19675.55078125,19828.44921875,19649.349609375,19808.400390625,1668700
2023-09-29,19811.099609375,19811.099609375,19880.599609375,19695.599609375,19729.19921875,1133600
2023-10-03,19733.69921875,19733.69921875,19795.0,19669.05078125,19793.400390625,1328100
2023-10-04,19578.05078125,19578.05078125,19655.150390625,19534.75,19629.44921875,1526100
2023-10-05,19678.599609375,19678.599609375,19762.75,19638.150390625,19672.55078125,1089800
2023-10-06,19818.19921875,19818.19921875,19856.75,19714.75,19759.849609375,843000
2023-10-09,19594.650390625,19594.650390625,19716.5,19569.599609375,19698.44921875,776700
2023-10-10,19834.849609375,19834.849609375,19879.25,19650.900390625,19659.19921875,1119200
2023-10-11,19929.75,19929.75,19985.150390625,19879.94921875,19931.05078125,1042200
2023-10-12,19945.69921875,19945.69921875,19972.69921875,19903.94921875,19938.94921875,782800
2023-10-13,19827.349609375,19827.349609375,19937.400390625,19788.400390625,19836.75,972400
2023-10-16,19814.5,19814.5,19863.94921875,19733.0,19797.30078125,747200
2023-10-17,19943.19921875,19943.19921875,19981.849609375,19918.80078125,19980.05078125,816900
2023-10-18,19687.19921875,19687.19921875,19926.94921875,19667.349609375,19923.94921875,845700
2023-10-19,19610.150390625,19610.150390625,19737.150390625,19500.650390625,19533.80078125,829900
2023-10-20,19606.25,19606.25,19664.30078125,19506.25,19525.400390625,729000
2023-10-23,19404.80078125,19404.80078125,19665.69921875,19350.30078125,19646.25,1021200
2023-10-25,19224.099609375,19224.099609375,19486.849609375,19192.25,19460.400390625,947300
2023-10-26,18922.69921875,18922.69921875,19161.400390625,18870.150390625,19152.150390625,1527200
2023-10-27,19129.150390625,19129.150390625,19154.19921875,19031.80078125,19051.349609375,903600
2023-10-30,19241.400390625,19241.400390625,19269.5,18964.150390625,19095.599609375,730800
2023-10-31,19204.599609375,19204.599609375,19386.69921875,19175.5,19386.30078125,1072200
2023-11-01,19144.599609375,19144.599609375,19196.55078125,19088.0,19140.94921875,974900
2023-11-02,19271.94921875,19271.94921875,19399.650390625,19194.599609375,19277.650390625,1601000
2023-11-03,19367.400390625,19367.400390625,19433.900390625,19356.650390625,19404.349609375,882900
2023-11-06,19537.55078125,19537.55078125,19548.19921875,19423.55078125,19509.25,972600
2023-11-07,19560.599609375,19560.599609375,19586.69921875,19356.349609375,19552.19921875,1176700
2023-11-08,19510.900390625,19510.900390625,19577.400390625,19456.05078125,19574.349609375,868800
2023-11-09,19491.94921875,19491.94921875,19566.900390625,19448.25,19495.099609375,1181200
2023-11-10,19571.05078125,19571.05078125,19608.19921875,19423.099609375,19429.05078125,796400
2023-11-13,19542.150390625,19542.150390625,19615.69921875,19479.900390625,19606.0,1371000
2023-11-15,19722.849609375,19722.849609375,19775.650390625,19690.30078125,19759.099609375,1301000
2023-11-16,19732.25,19732.25,19842.55078125,19640.0,19688.599609375,1022000
2023-11-17,19554.30078125,19554.30078125,19647.94921875,19469.849609375,19496.94921875,1458200
2023-11-20,19518.599609375,19518.599609375,19592.5,19483.099609375,19552.80078125,987300
2023-11-21,19612.099609375,19612.099609375,19635.400390625,19584.599609375,19619.0,1260000
2023-11-22,19566.30078125,19566.30078125,19615.69921875,19467.25,19604.599609375,1015400
2023-11-23,19587.25,19587.25,19642.400390625,19561.69921875,19563.69921875,789600
2023-11-24,19652.0,19652.0,19665.400390625,19576.94921875,19595.44921875,681700
2023-11-28,19702.650390625,19702.650390625,19739.400390625,19645.849609375,19685.44921875,939500
2023-11-29,20000.349609375,20000.349609375,20022.55078125,19766.150390625,19786.75,1029700
2023-11-30,20054.650390625,20054.650390625,20099.30078125,19903.349609375,20051.599609375,2192300
2023-12-01,20211.0,20211.0,20255.30078125,20074.150390625,20096.69921875,1660100
2023-12-04,20862.900390625,20862.900390625,20884.30078125,20493.05078125,20571.30078125,1949800
2023-12-05,21055.80078125,21055.80078125,21161.80078125,20938.25,21068.05078125,1933300
2023-12-06,21026.75,21026.75,21161.150390625,20993.5,21161.150390625,1349000
2023-12-07,21023.44921875,21023.44921875,21075.25,20911.05078125,20992.44921875,1403500
2023-12-08,21213.849609375,21213.849609375,21237.19921875,21006.30078125,21007.05078125,1436100
2023-12-11,21214.69921875,21214.69921875,21321.5,21162.44921875,21192.650390625,905600
2023-12-12,21173.25,21173.25,21277.75,21140.349609375,21260.75,1134700
2023-12-13,21171.19921875,21171.19921875,21208.69921875,21055.44921875,21203.650390625,1712400
2023-12-14,21461.25,21461.25,21562.19921875,21354.349609375,21375.599609375,1426100
2023-12-15,21529.75,21529.75,21570.94921875,21365.400390625,21545.400390625,2026800
2023-12-18,21444.900390625,21444.900390625,21535.44921875,21418.150390625,21513.150390625,986100
2023-12-19,21434.44921875,21434.44921875,21491.05078125,21337.150390625,21476.849609375,979200
2023-12-20,21201.25,21201.25,21552.349609375,21096.75,21518.349609375,1452800
2023-12-21,21326.0,21326.0,21359.25,20996.44921875,21087.25,1385800
2023-12-22,21197.150390625,21197.150390625,21413.5,21138.44921875,21339.25,1307200
2023-12-26,21261.650390625,21261.650390625,21303.599609375,21192.900390625,21240.349609375,1064500
2023-12-27,21465.69921875,21465.69921875,21491.69921875,21306.05078125,21316.0,963800
2023-12-28,21534.099609375,21534.099609375,21627.349609375,21490.80078125,21555.349609375,1598300
2023-12-29,21487.44921875,21487.44921875,21523.900390625,21417.400390625,21461.5,1573200
2024-01-02,21346.150390625,21346.150390625,21465.80078125,21299.099609375,21453.69921875,1206200
2024-01-03,21256.55078125,21256.55078125,21368.30078125,21216.55078125,21362.150390625,1049800
2024-01-04,21516.599609375,21516.599609375,21551.55078125,21329.099609375,21346.75,1374200
2024-01-05,21514.19921875,21514.19921875,21602.099609375,21380.400390625,21529.94921875,1052100
2024-01-08,21292.44921875,21292.44921875,21554.05078125,21270.150390625,21511.94921875,899400
2024-01-09,21197.25,21197.25,21479.44921875,21155.400390625,21385.44921875,1083300
2024-01-10,21224.30078125,21224.30078125,21256.94921875,21095.849609375,21138.849609375,907100
2024-01-11,21249.19921875,21249.19921875,21382.75,21170.80078125,21299.25,843900
2024-01-12,21300.69921875,21300.69921875,21371.94921875,21217.900390625,21303.75,932000
2024-01-15,21461.349609375,21461.349609375,21499.349609375,21336.69921875,21374.5,1111000
2024-01-16,21447.150390625,21447.150390625,21513.5,21415.0,21444.05078125,1134200
2024-01-17,20528.900390625,20528.900390625,21015.80078125,20486.900390625,20733.69921875,3102400
2024-01-18,20324.05078125,20324.05078125,20522.099609375,20194.75,20245.94921875,2362600
2024-01-19,20425.349609375,20425.349609375,20604.900390625,20371.150390625,20510.349609375,1835500
2024-01-23,20137.05078125,20137.05078125,20771.849609375,20081.30078125,20735.5,2807900
2024-01-24,20206.400390625,20206.400390625,20324.5,19878.55078125,19878.55078125,2202400
2024-01-25,20099.400390625,20099.400390625,20234.900390625,19941.30078125,20204.150390625,1851400
2024-01-29,20413.349609375,20413.349609375,20465.0,20235.75,20246.400390625,2025000
2024-01-30,20285.5,20285.5,20466.30078125,20242.69921875,20392.150390625,1654100
2024-01-31,20497.5,20497.5,20587.44921875,20160.55078125,20249.25,1655500
2024-02-01,20516.650390625,20516.650390625,20570.19921875,20355.69921875,20555.94921875,1309000
2024-02-02,20434.05078125,20434.05078125,20817.5,20408.30078125,20661.05078125,1324200
2024-02-05,20315.849609375,20315.849609375,20458.05078125,20260.0,20441.349609375,1335600
2024-02-06,20365.5,20365.5,20391.0,20240.55078125,20351.80078125,1405800
2024-02-07,20443.650390625,20443.650390625,20537.599609375,20357.849609375,20463.44921875,1836500
2024-02-08,20064.69921875,20064.69921875,20542.849609375,20021.349609375,20496.650390625,2084800
2024-02-09,20203.30078125,20203.30078125,20233.55078125,19958.599609375,20037.849609375,2026600
2024-02-12,19918.5,19918.5,20231.55078125,19822.05078125,20198.400390625,1349800
2024-02-13,20190.5,20190.5,20272.099609375,19920.05078125,19984.30078125,1464300
2024-02-14,20325.55078125,20325.55078125,20394.0,19941.099609375,19976.650390625,1552100
2024-02-15,20416.150390625,20416.150390625,20442.94921875,20205.349609375,20372.19921875,1130100
2024-02-16,20472.75,20472.75,20552.30078125,20401.900390625,20526.0,982700
2024-02-20,20800.849609375,20800.849609375,20818.19921875,20482.19921875,20517.44921875,1070900
2024-02-21,20686.75,20686.75,20897.30078125,20631.44921875,20897.30078125,1111700
2024-02-22,20665.900390625,20665.900390625,20712.0,20440.900390625,20635.05078125,1168700
2024-02-23,20677.099609375,20677.099609375,20794.650390625,20645.0,20717.69921875,876400
2024-02-26,20619.69921875,20619.69921875,20724.19921875,20585.25,20585.849609375,856200
2024-02-27,20552.900390625,20552.900390625,20631.30078125,20527.94921875,20564.849609375,1192100
2024-02-28,20340.400390625,20340.400390625,20627.900390625,20293.349609375,20577.05078125,898100
2024-02-29,20407.900390625,20407.900390625,20495.400390625,20234.75,20306.849609375,1547000
2024-03-01,20842.69921875,20842.69921875,20863.650390625,20446.099609375,20446.099609375,963000
2024-03-04,20927.25,20927.25,20959.80078125,20807.0,20852.150390625,1213100
2024-03-05,20854.5,20854.5,20958.25,20814.5,20846.5,1133700
2024-03-06,20986.150390625,20986.150390625,21064.75,20802.69921875,20815.650390625,1690000
2024-03-07,21005.849609375,21005.849609375,21063.80078125,20947.849609375,21017.94921875,1080100
2024-03-11,20862.55078125,20862.55078125,21020.400390625,20833.25,21001.400390625,1325800
2024-03-12,20897.5,20897.5,21069.849609375,20647.849609375,20867.94921875,1618400
2024-03-13,20758.19921875,20758.19921875,20960.44921875,20696.75,20928.400390625,1745100
2024-03-14,20725.900390625,20725.900390625,20864.19921875,20590.5,20725.30078125,1353100
2024-03-15,20644.30078125,20644.30078125,20706.44921875,20530.349609375,20617.650390625,2910400
2024-03-18,20626.650390625,20626.650390625,20703.25,20413.150390625,20572.94921875,877100
2024-03-19,20601.94921875,20601.94921875,20651.599609375,20541.30078125,20552.5,1213800
2024-03-20,20544.25,20544.25,20689.849609375,20362.80078125,20591.0,1275700
2024-03-21,20714.80078125,20714.80078125,20822.75,20656.849609375,20692.44921875,1340700
2024-03-22,20783.55078125,20783.55078125,20846.05078125,20667.349609375,20693.75,1198700
2024-03-26,20705.94921875,20705.94921875,20769.349609375,20629.25,20629.599609375,1390900
2024-03-27,20792.400390625,20792.400390625,20861.25,20737.25,20737.25,2208500
2024-03-28,20989.099609375,20989.099609375,21141.75,20809.349609375,20809.400390625,1509100
2024-04-01,21198.400390625,21198.400390625,21237.5,21100.19921875,21108.75,861200
2024-04-02,21150.94921875,21150.94921875,21220.44921875,21118.650390625,21157.25,1133500
2024-04-03,21197.25,21197.25,21261.25,21065.25,21069.30078125,1273400
2024-04-04,21373.5,21373.5,21457.44921875,21220.5,21390.099609375,1593300
2024-04-05,21556.650390625,21556.650390625,21579.650390625,21294.94921875,21375.400390625,1127700
2024-04-08,21604.5,21604.5,21669.150390625,21552.94921875,21613.30078125,917900
2024-04-09,21682.19921875,21682.19921875,21758.349609375,21625.150390625,21716.55078125,895600
2024-04-10,21717.69921875,21717.69921875,21754.25,21670.69921875,21748.5,990200
2024-04-12,21521.80078125,21521.80078125,21665.0,21484.349609375,21584.94921875,1112600
2024-04-15,21146.0,21146.0,21377.30078125,21130.349609375,21292.650390625,823600
2024-04-16,21099.25,21099.25,21145.94921875,20964.099609375,20996.94921875,934600
2024-04-18,20899.44921875,20899.44921875,21228.19921875,20862.0,21142.75,1244100
2024-04-19,21173.0,21173.0,21211.099609375,20694.349609375,20758.94921875,1100300
2024-04-22,21326.5,21326.5,21409.69921875,21194.44921875,21409.099609375,975900
2024-04-23,21334.19921875,21334.19921875,21477.25,21302.69921875,21476.0,876000
2024-04-24,21442.599609375,21442.599609375,21481.650390625,21361.30078125,21391.0,726200
2024-04-25,21545.349609375,21545.349609375,21612.900390625,21269.5,21290.55078125,2336100
2024-04-26,21354.05078125,21354.05078125,21552.55078125,21304.55078125,21552.55078125,1360000
2024-04-29,21811.19921875,21811.19921875,21832.0,21418.150390625,21426.25,1680200
2024-04-30,21841.150390625,21841.150390625,22073.69921875,21779.19921875,21827.5,2895400
2024-05-02,21873.69921875,21873.69921875,21967.900390625,21773.849609375,21785.44921875,2700700
2024-05-03,21797.400390625,21797.400390625,22136.599609375,21707.44921875,22009.30078125,1979500
2024-05-06,21743.69921875,21743.69921875,21890.75,21707.05078125,21857.75,2573600
2024-05-07,21543.5,21543.5,21807.75,21509.400390625,21783.0,1586400
2024-05-08,21428.349609375,21428.349609375,21528.19921875,21396.400390625,21457.30078125,1878800
2024-05-09,21093.5,21093.5,21475.25,21072.599609375,21376.05078125,1628600
2024-05-10,21094.150390625,21094.150390625,21270.69921875,21017.650390625,21120.349609375,1219800
2024-05-13,21249.80078125,21249.80078125,21288.55078125,20934.400390625,21062.69921875,1023400
2024-05-14,21254.55078125,21254.55078125,21317.55078125,21184.94921875,21247.5,910700
2024-05-15,21186.0,21186.0,21293.80078125,21125.150390625,21281.099609375,1080400
2024-05-16,21416.099609375,21416.099609375,21445.650390625,21093.849609375,21308.05078125,1512300
2024-05-17,21478.30078125,21478.30078125,21509.5,21320.099609375,21354.44921875,932500
2024-05-21,21438.19921875,21438.19921875,21495.80078125,21373.5,21373.55078125,1012400
2024-05-22,21326.69921875,21326.69921875,21463.69921875,21198.80078125,21463.69921875,1039000
2024-05-23,21731.650390625,21731.650390625,21759.19921875,21352.94921875,21370.099609375,1097300
2024-05-24,21852.30078125,21852.30078125,21890.650390625,21673.099609375,21686.0,1164900
2024-05-27,21965.599609375,21965.599609375,22143.44921875,21868.69921875,21913.0,1328700
2024-05-28,21982.150390625,21982.150390625,22056.099609375,21917.05078125,22011.349609375,1081200
2024-05-29,21620.44921875,21620.44921875,21914.400390625,21593.0,21829.099609375,1251300
2024-05-30,21597.30078125,21597.30078125,21740.44921875,21529.599609375,21530.400390625,1176900
2024-05-31,21718.30078125,21718.30078125,21786.80078125,21565.75,21696.349609375,2091900
2024-06-03,22596.400390625,22596.400390625,22660.05078125,22259.400390625,22600.400390625,2798500
2024-06-04,20819.5,20819.5,22475.44921875,20457.900390625,22475.44921875,5333400
2024-06-05,21682.599609375,21682.599609375,21785.30078125,20666.94921875,21048.900390625,3542100
2024-06-06,21894.900390625,21894.900390625,22034.900390625,21710.400390625,21850.900390625,2328400
2024-06-07,22165.80078125,22165.80078125,22224.94921875,21814.44921875,21937.849609375,1612700
2024-06-10,22154.849609375,22154.849609375,22326.55078125,22085.650390625,22182.55078125,1282100
2024-06-11,22125.44921875,22125.44921875,22220.69921875,22038.30078125,22140.05078125,1247400
2024-06-12,22232.400390625,22232.400390625,22376.75,22135.5,22190.900390625,1331500
2024-06-13,22296.69921875,22296.69921875,22386.80078125,22273.900390625,22355.94921875,1385400
2024-06-14,22411.94921875,22411.94921875,22446.900390625,22250.05078125,22364.69921875,1053100
2024-06-18,22585.349609375,22585.349609375,22633.849609375,22355.25,22486.099609375,1243400
2024-06-19,22943.94921875,22943.94921875,23154.25,22586.5,22657.55078125,1878000
2024-06-20,23035.30078125,23035.30078125,23068.75,22818.25,23065.44921875,1350100
2024-06-21,22991.55078125,22991.55078125,23110.400390625,22814.19921875,23110.25,2198600
2024-06-24,23071.25,23071.25,23098.099609375,22811.05078125,22833.80078125,968500
2024-06-25,23510.650390625,23510.650390625,23577.5,23098.05078125,23101.30078125,1741200
2024-06-26,23592.69921875,23592.69921875,23638.80078125,23402.099609375,23518.849609375,1276600
2024-06-27,23624.849609375,23624.849609375,23763.19921875,23504.44921875,23638.19921875,1703800
2024-06-28,23420.30078125,23420.30078125,23711.05078125,23379.55078125,23644.19921875,1036000
2024-07-01,23631.05078125,23631.05078125,23660.25,23361.099609375,23418.5,0
2024-07-02,23500.849609375,23500.849609375,23749.25,23395.94921875,23732.55078125,0
2024-07-03,23923.75,23923.75,23991.44921875,23692.75,23847.19921875,0
2024-07-04,23879.69921875,23879.69921875,24046.599609375,23808.94921875,24044.25,1245500
2024-07-05,23641.75,23641.75,23719.400390625,23496.849609375,23640.400390625,1280000
2024-07-08,23586.75,23586.75,23680.25,23476.80078125,23615.599609375,1155000
